Association	Age	Profession	Gender	Location	Education	Panic	Before	After	Rise
Research	21-30	Stud.	Female	City	Doctorate	0	1-2	1-2	0
None	21-30	Stud.	Male	Village	Bachelors	0	<1	<1	0
None	<21	Stud.	Female	City	Bachelors	3	2-3	>3	1
Research	21-30	Stud.	Female	City	Doctorate	3	1-2	1-2	0
Other	21-30	Stud.	Male	City	Masters	3	1-2	1-2	0
Other	21-30	Indus.	Female	City	Bachelors	5	1-2	>3	2
Other	21-30	Indus.	Female	City	Masters	3	>3	>3	0
None	21-30	Stud.	Female	Suburban	Bachelors	2	1-2	>3	2
None	21-30	Stud.	Female	Suburban	Masters	3	>3	>3	0
None	<21	Stud.	Male	City	School	0	<1	2-3	2
Other	21-30	Stud.	Male	Suburban	Bachelors	2	1-2	>3	2
Research	31-40	Indus.	Female	City	Doctorate	2	<1	<1	0
None	31-40	Home	Female	City	Bachelors	4	<1	<1	0
None	<21	Stud.	Female	Suburban	Bachelors	3	1-2	>3	2
None	<21	Stud.	Male	City	Bachelors	4	1-2	>3	2
Research	21-30	Stud.	Male	City	Bachelors	4	1-2	2-3	1
Other	41-50	Indus.	Male	City	Bachelors	4	>3	>3	0
None	41-50	Home	Female	Village	Bachelors	3	1-2	2-3	1
None	<21	Stud.	Male	Suburban	School	4	>3	>3	0
None	21-30	Stud.	Female	City	Masters	4	>3	>3	0
None	<21	Stud.	Male	Suburban	Bachelors	1	1-2	>3	2
Other	<21	Stud.	Male	City	School	3	>3	>3	0
None	<21	Stud.	Female	City	School	1	1-2	<1	-1
None	<21	Stud.	Male	Suburban	Bachelors	1	<1	<1	0
None	<21	Stud.	Female	City	School	0	>3	<1	-3
None	<21	Stud.	Male	Suburban	Bachelors	5	2-3	<1	-2
None	21-30	Stud.	Female	City	Masters	3	1-2	>3	2
Govt.	31-40	Other	Male	Suburban	Masters	4	<1	<1	0
None	<21	Stud.	Male	City	School	2	2-3	2-3	0
None	<21	Stud.	Female	City	Bachelors	2	1-2	>3	2
Other	21-30	Busin.	Male	City	Masters	1	1-2	2-3	1
Govt.	<21	Stud.	Male	City	Bachelors	2	1-2	2-3	1
None	<21	Stud.	Male	Suburban	Bachelors	2	1-2	1-2	0
None	<21	Stud.	Male	Suburban	Bachelors	3	1-2	>3	2
None	31-40	Indus.	Male	City	Masters	1	<1	<1	0
None	21-30	Stud.	Male	Suburban	Bachelors	2	1-2	>3	2
None	21-30	Other	Male	Village	Masters	5	<1	<1	0
Research	21-30	Other	Female	Village	Masters	3	>3	>3	0
None	<21	Stud.	Male	Suburban	Bachelors	1	2-3	>3	1
None	21-30	Stud.	Male	City	Masters	4	<1	>3	3
Other	21-30	Stud.	Male	City	Masters	4	2-3	<1	-2
None	21-30	Stud.	Female	City	Masters	3	2-3	>3	1
None	21-30	Stud.	Female	Suburban	Masters	5	>3	>3	0
Other	31-40	Acad.	Male	City	Doctorate	0	<1	<1	0
Other	<21	Stud.	Male	Village	School	1	<1	<1	0
Other	21-30	Other	Female	Suburban	Masters	5	1-2	2-3	1
Other	21-30	Acad.	Male	City	Bachelors	3	1-2	>3	2
Other	21-30	Stud.	Male	Village	Masters	3	2-3	<1	-2
None	<21	Stud.	Male	City	Bachelors	5	2-3	2-3	0
Other	<21	Stud.	Male	City	Bachelors	0	1-2	2-3	1
Other	21-30	Stud.	Male	City	Masters	5	2-3	1-2	-1
Other	<21	Stud.	Male	City	Bachelors	3	<1	>3	3
Research	21-30	Stud.	Female	City	Doctorate	1	>3	>3	0
None	<21	Stud.	Male	City	Bachelors	5	1-2	>3	2
None	<21	Stud.	Male	Suburban	Bachelors	1	2-3	1-2	-1
Other	<21	Stud.	Male	Village	Bachelors	1	<1	1-2	1
None	<21	Stud.	Male	Village	Bachelors	0	>3	>3	0
Other	21-30	Acad.	Male	City	Masters	3	>3	2-3	-1
None	<21	Stud.	Male	City	Bachelors	3	1-2	>3	2
None	31-40	Indus.	Male	Suburban	School	3	2-3	2-3	0
Other	<21	Stud.	Male	City	School	3	1-2	1-2	0
None	<21	Stud.	Male	City	School	0	1-2	1-2	0
Research	31-40	Acad.	Male	City	Doctorate	2	1-2	2-3	1
None	21-30	Stud.	Female	Suburban	Bachelors	3	>3	2-3	-1
None	21-30	Stud.	Male	Village	Masters	3	>3	>3	0
Other	21-30	Indus.	Male	Village	Bachelors	4	2-3	2-3	0
Other	31-40	Acad.	Male	City	Masters	3	<1	1-2	1
None	21-30	Other	Female	City	Bachelors	2	2-3	<1	-2
None	31-40	Other	Male	Suburban	Bachelors	3	1-2	2-3	1
None	21-30	Stud.	Male	City	Bachelors	2	1-2	>3	2
Other	21-30	Acad.	Female	City	Masters	5	1-2	2-3	1
Research	21-30	Stud.	Female	City	Doctorate	1	1-2	1-2	0
None	21-30	Stud.	Female	Suburban	Masters	3	<1	<1	0
None	21-30	Stud.	Male	City	Masters	3	1-2	2-3	1
None	<21	Stud.	Female	City	School	3	1-2	>3	2
None	<21	Stud.	Male	Suburban	School	3	2-3	>3	1
None	21-30	Stud.	Male	City	Masters	2	2-3	2-3	0
Other	21-30	Stud.	Female	City	Masters	3	<1	>3	3
Other	21-30	Stud.	Male	City	Masters	0	<1	<1	0
None	41-50	Busin.	Female	City	Masters	1	>3	>3	0
None	21-30	Stud.	Female	City	Bachelors	3	<1	1-2	1
Other	21-30	Stud.	Male	City	Bachelors	1	1-2	1-2	0
None	21-30	Stud.	Female	City	Masters	0	1-2	1-2	0
None	21-30	Other	Female	Suburban	Masters	0	2-3	2-3	0
None	31-40	Busin.	Male	City	Bachelors	4	1-2	<1	-1
Other	21-30	Stud.	Male	Suburban	Masters	3	<1	1-2	1
None	<21	Stud.	Male	City	Bachelors	4	>3	>3	0
None	21-30	Stud.	Male	Village	Masters	0	<1	<1	0
